__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726873519.169623,,,,,,,,,,,,,1726873519.169622898,-0.186246740,-0.086611310,0.418829113,0.066432700,-0.077944957,2.280496758,0.902271330,0.380577832,0.320126235,0.515492380
1726873519.179578,,,,,,,,,,,,,1726873519.179577589,-0.100735464,-0.089134290,0.413172811,0.027492953,-0.061267894,2.292164605,0.908173263,0.379561424,0.320755810,0.513131738
1726873519.189485,,,,,,,,,,,,,1726873519.189484596,-0.099922161,-0.088983080,0.411359936,0.027275166,-0.060978875,2.296132707,0.909021854,0.379531503,0.321037740,0.513097584
1726873519.199425,,,,,,,,,,,,,1726873519.199424982,-0.100762621,-0.090395266,0.407287538,0.027645627,-0.061667893,2.305145308,0.910796106,0.379663229,0.321482778,0.513164103
1726873519.209502,,,,,,,,,,,,,1726873519.209502220,-0.101334287,-0.090354685,0.404727876,0.028088482,-0.061685827,2.310774375,0.911921680,0.379646659,0.321673483,0.513171852
1726873519.209605,,,,,,,,,,,,,1726873519.209605455,-0.103770924,-0.090081727,0.401878327,0.029452026,-0.061956976,2.317066388,0.913119793,0.379665554,0.321869880,0.513180435
1726873519.219595,,,,,,,,,,,,,1726873519.219595194,-0.104440393,-0.091668570,0.399265349,0.029621044,-0.062729083,2.322852808,0.914207339,0.379723310,0.322046697,0.513184726
1726873519.229512,,,,,,,,,,,,,1726873519.229512453,-0.107392349,-0.092057778,0.397575498,0.031015292,-0.063431278,2.326629260,0.914848804,0.379580498,0.321980178,0.513190389
1726873519.239573,,,,,,,,,,,,,1726873519.239572525,-0.124496585,-0.098411320,0.387543350,0.038373418,-0.069266498,2.349151832,0.918444216,0.379203916,0.321418345,0.513608694
1726873519.249578,,,,,,,,,,,,,1726873519.249578238,-0.124786343,-0.100572543,0.385341436,0.038259804,-0.070220925,2.354041466,0.919302523,0.379240006,0.321595609,0.513646901
